"Rank","Institution","Total enrollment, fall 2017","Revenue from tuition and fees","Spending on instruction","Revenue from tuition and fees, minus spending on instruction","Tuition-and-fees revenue as percentage of all revenue"
"595.","Western Illinois U.","9,441","$67,567,759","$125,827,367","-$58,259,608","23.0%"
"596.","Southern Illinois U. at Edwardsville","13,796","$111,355,731","$170,677,694","-$59,321,963","28.6%"
"597.","Santa Monica College","29,760","$60,674,747","$120,026,926","-$59,352,179","21.6%"
"598.","Broward College","40,754","$49,742,222","$110,010,313","-$60,268,091","16.6%"
"599.","U. of Tennessee at Knoxville","28,321","$309,324,461","$370,348,990","-$61,024,529","21.5%"
"600.","South Texas College","31,321","$23,129,705","$85,984,848","-$62,855,143","11.0%"
"601.","California State U. at Los Angeles","28,531","$85,904,720","$148,952,487","-$63,047,767","21.9%"
"602.","U. of Toledo","20,579","$199,997,799","$263,283,682","-$63,285,883","21.8%"
"603.","Oklahoma State U. Center for Health Sciences College of Osteopathic Medicine","971","$13,930,666","$77,393,115","-$63,462,449","6.6%"
"604.","Santa Ana College","28,083","$7,949,631","$71,912,012","-$63,962,381","4.5%"
"605.","College of Southern Nevada","33,914","$49,688,000","$114,486,000","-$64,798,000","25.1%"
"606.","U. of Mississippi","23,136","$266,530,482","$332,716,369","-$66,185,887","12.9%"
"607.","California State U. at Fresno","25,325","$80,798,182","$147,174,119","-$66,375,937","22.1%"
"608.","U. of Texas-Rio Grande Valley","27,809","$106,695,027","$174,302,394","-$67,607,367","18.2%"
"609.","Eastern Illinois U.","7,030","$45,641,268","$114,063,866","-$68,422,598","21.8%"
"610.","San Francisco State U.","29,758","$129,985,080","$198,766,623","-$68,781,543","26.5%"
"611.","Binghamton U.","17,351","$144,239,520","$214,525,296","-$70,285,776","26.5%"
"612.","U. of Nevada at Las Vegas","30,471","$194,288,000","$264,903,000","-$70,615,000","29.3%"
"613.","Utah State U.","27,679","$142,666,323","$215,346,176","-$72,679,853","18.8%"
"614.","U. of Central Florida","66,059","$313,265,162","$386,150,770","-$72,885,608","28.1%"
"615.","Buffalo State College","9,516","$36,880,864","$109,821,850","-$72,940,986","15.5%"
"616.","City U. of New York College of Staten Island","13,594","$42,191,336","$115,343,633","-$73,152,297","19.5%"
"617.","New Mexico State U. at Las Cruces","14,432","$57,252,460","$133,384,285","-$76,131,825","13.0%"
"618.","City U. of New York Herbert H. Lehman College","14,130","$43,636,578","$122,463,642","-$78,827,064","19.5%"
"619.","San Diego Mesa College","23,532","$6,766,455","$86,107,004","-$79,340,549","4.9%"
"620.","Virginia Commonwealth U.","30,675","$336,426,527","$415,799,195","-$79,372,668","29.1%"
"621.","Illinois State U.","20,784","$222,197,297","$303,169,210","-$80,971,913","37.1%"
"622.","City U. of New York Queens College","19,866","$79,573,903","$160,567,163","-$80,993,260","26.4%"
"623.","U. of Arkansas for Medical Sciences","2,836","$43,975,000","$125,530,000","-$81,555,000","2.9%"
"624.","Augusta U.","8,220","$88,406,111","$170,194,211","-$81,788,100","10.2%"
"625.","California State U. at Long Beach","37,622","$150,880,063","$233,787,473","-$82,907,410","27.1%"
"626.","U. of Louisville","21,402","$221,626,000","$305,101,000","-$83,475,000","20.0%"
"627.","State U. of New York Upstate Medical U.","1,484","$34,354,760","$118,884,276","-$84,529,516","2.9%"
"628.","City U. of New York Brooklyn College","17,803","$63,801,665","$151,059,046","-$87,257,381","20.9%"
"629.","U. of North Dakota","14,406","$139,642,046","$229,011,562","-$89,369,516","29.3%"
"630.","City U. of New York, New York City College of Technology","17,279","$36,586,787","$129,006,068","-$92,419,281","11.4%"
"631.","U. of Michigan at Ann Arbor","46,002","$1,079,956,000","$1,173,332,000","-$93,376,000","12.0%"
"632.","City U. of New York John Jay College of Criminal Justice","14,834","$49,240,816","$142,861,577","-$93,620,761","19.1%"
"633.","U. of Massachusetts at Amherst","30,340","$374,009,000","$469,000,558","-$94,991,558","29.1%"
"634.","State U. of New York Downstate Medical Center","1,792","$42,902,517","$137,995,817","-$95,093,300","5.3%"
"635.","U. of South Florida","43,540","$260,294,183","$356,587,234","-$96,293,051","20.0%"
"636.","U. of Wisconsin at Madison","42,977","$510,860,385","$610,014,279","-$99,153,894","18.3%"
"637.","U. of Alabama at Birmingham","20,902","$209,220,942","$310,526,699","-$101,305,757","6.8%"
"638.","Madison Area Technical College","15,410","$34,037,830","$135,688,832","-$101,651,002","15.4%"
"639.","Northern Illinois U.","18,045","$127,256,306","$229,631,671","-$102,375,365","23.0%"
"640.","City U. of New York Hunter College","23,005","$112,134,726","$217,633,201","-$105,498,475","26.5%"
"641.","U. of Minnesota-Twin Cities","51,848","$656,910,446","$762,960,244","-$106,049,798","20.1%"
"642.","U. of Maryland at Baltimore","6,703","$113,034,201","$220,813,650","-$107,779,449","9.8%"
"643.","Purdue U. at West Lafayette","42,699","$669,143,141","$777,047,416","-$107,904,275","33.5%"
"644.","U. of Utah","32,800","$327,508,000","$439,827,000","-$112,319,000","6.8%"
"645.","U. at Albany","17,743","$118,582,676","$232,632,213","-$114,049,537","20.9%"
"646.","U. of Wyoming","12,397","$55,562,347","$170,151,505","-$114,589,158","8.5%"
"647.","East Carolina U.","29,131","$198,549,676","$313,173,880","-$114,624,204","21.5%"
"648.","Miami Dade College","56,001","$78,482,864","$199,042,545","-$120,559,681","15.2%"
"649.","Southern Illinois U. at Carbondale","14,554","$134,647,236","$255,719,099","-$121,071,863","17.3%"
"650.","Oregon Health & Science U.","2,895","$69,588,000","$195,287,000","-$125,699,000","2.3%"
"651.","City U. of New York Graduate Center","7,674","$26,300,187","$152,262,882","-$125,962,695","9.7%"
"652.","U. of Nebraska Medical Center","3,908","$53,176,696","$179,402,587","-$126,225,891","7.8%"
"653.","Medical U. of South Carolina","2,985","$95,581,248","$229,204,715","-$133,623,467","13.1%"
"654.","U. of Nevada at Reno","21,657","$135,935,838","$277,519,336","-$141,583,498","20.4%"
"655.","Indiana U.-Purdue U. at Indianapolis","29,791","$321,267,183","$465,405,590","-$144,138,407","24.0%"
"656.","U. of Kansas","27,625","$314,335,203","$464,419,035","-$150,083,832","23.4%"
"657.","Florida State U.","41,362","$248,667,973","$399,267,209","-$150,599,236","21.2%"
"658.","U. of Oklahoma Health Sciences Center","3,139","$62,888,000","$227,834,000","-$164,946,000","6.0%"
"659.","U. of New Mexico","26,221","$132,126,462","$304,130,197","-$172,003,735","5.7%"
"660.","City College of City U. of New York","16,001","$51,584,091","$224,095,252","-$172,511,161","11.3%"
"661.","U. of Hawaii-Manoa","17,612","$178,230,346","$351,195,455","-$172,965,109","17.5%"
"662.","Louisiana State U. Health Sciences Center-New Orleans","2,777","$54,835,388","$231,691,786","-$176,856,398","8.9%"
"663.","Rutgers U. at New Brunswick","49,577","$657,416,000","$846,353,000","-$188,937,000","19.3%"
"664.","Ohio State U.","59,837","$887,558,515","$1,078,049,691","-$190,491,176","12.8%"
"665.","North Carolina State U.","34,432","$307,439,091","$500,194,413","-$192,755,322","19.5%"
"666.","U. of Connecticut*","32,182","$384,783,443","$609,272,233","-$224,488,790","14.7%"
"667.","U. at Buffalo","30,648","$293,707,085","$521,548,121","-$227,841,036","26.5%"
"668.","U. of California at Irvine","35,242","$523,326,000","$759,765,388","-$236,439,388","17.3%"
"669.","U. of Tennessee Health Science Center at Memphis","3,199","$78,330,226","$325,315,111","-$246,984,885","13.3%"
"670.","Texas Tech U. Health Sciences Center","5,453","$55,301,241","$313,823,412","-$258,522,171","5.9%"
"671.","U. of Colorado at Denver","24,839","$258,939,063","$546,894,415","-$287,955,352","12.5%"
"672.","Stony Brook U.","25,989","$266,628,173","$563,665,638","-$297,037,465","10.9%"
"673.","Texas A&M U. at College Station","67,929","$625,925,184","$931,813,167","-$305,887,983","17.9%"
"674.","U. of California at San Francisco","3,107","$58,693,000","$382,645,787","-$323,952,787","0.9%"
"675.","U. of Texas Medical Branch","3,302","$38,199,514","$364,268,925","-$326,069,411","1.7%"
"676.","U. of California at San Diego","35,772","$629,187,000","$957,956,318","-$328,769,318","12.8%"
"677.","U. of Florida","52,669","$430,586,000","$782,407,000","-$351,821,000","14.5%"
"678.","U. of California at Davis","37,380","$571,058,000","$924,248,577","-$353,190,577","12.2%"
"679.","U. of Texas at Austin","51,525","$464,717,206","$835,393,564","-$370,676,358","13.1%"
"680.","U. of North Carolina at Chapel Hill","29,911","$426,855,854","$801,262,995","-$374,407,141","13.1%"
"681.","U. of Texas Health Science Center at San Antonio","3,277","$43,744,190","$418,670,284","-$374,926,094","4.7%"
"682.","U. of Washington (3 campuses)*","57,309","$941,872,904","$1,445,325,556","-$503,452,652","15.4%"
"683.","U. of Illinois at Chicago","30,539","$378,767,545","$884,436,414","-$505,668,869","12.4%"
"684.","U. of Texas Health Science Center at Houston","5,242","$53,588,987","$735,944,192","-$682,355,205","3.0%"
"685.","U. of Texas Southwestern Medical Center at Dallas","2,238","$24,574,292","$1,018,580,142","-$994,005,850","0.7%"
"686.","U. of California at Los Angeles","44,027","$832,780,000","$2,245,090,004","-$1,412,310,004","11.1%"
" ","Average for 686 institutions","12,595","$96,660,209","$124,118,316","-$27,458,107","21.8%"
